Document Name,Fund,Share classes,ISINs,Audience,ID path,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Singapore Professional Investor, Hong Kong Professional Investor, Taiwan Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/3896e070-970e-44ec-b779-be4fdfbfe10f/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Luxembourg Professional Investor, Netherlands Professional Investor, Sweden Professional Investor, Denmark Professional Investor, Finland Professional Investor, Belgium Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/71805cdd-89ab-4bda-a7f8-7b35c6dee59b/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,UK Retail Investor,https://www.ftglobalportfolios.com/srp/documents-id/4cb9339a-bbf5-4808-88af-ac18b7515039/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Uruguay Qualified Investor, Chile Qualified Investor, Mexico Qualified Investor, Peru Qualified Investor, Colombia Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/fa5da6b7-bc24-424a-a8f0-e73995e5c027/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,US Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/d20f4c2b-1ea9-4db3-8b75-67c41ca93364/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Austria Professional Investor, Germany Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/17bf8684-cddb-42d6-865c-30fa9311cc18/FactSheet.pdf,German,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,France Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/bd8dc77f-8ffa-4f0e-8ebb-fc04393c7b59/FactSheet.pdf,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Luxembourg Professional Investor, Belgium Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/62808c41-29ca-4669-b423-0a0a61529e32/FactSheet.pdf,French,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,Italy Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/3da7f9f2-2902-4952-9a31-202773195b46/FactSheet.pdf,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCITS KIID,Vest Nasdaq-100® Moderate Buffer UCITS ETF - December,First Trust Vest Nasdaq-100® Moderate Buffer UCITS ETF, December A Acc USD,IE000GAKWFA7,UK Retail Investor, UK Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/8262d4aa-dc8e-4de1-9d07-966d095cce34/KIID.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Malta Professional Investor, Norway Professional Investor, Portugal Professional Investor, Spain Professional Investor, UK Professional Investor, Iceland Professional Investor, Ireland Professional Investor,https://www.ftglobalportfolios.com/srp/documents-id/d5d541e3-8c14-4930-9047-7a853c7538e9/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Singapore Professional Investor, Hong Kong Professional Investor, Taiwan Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/4d4f8dc3-db26-4abe-8d60-3308b7dacb5b/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,Luxembourg Professional Investor, Netherlands Professional Investor, Sweden Professional Investor, Denmark Professional Investor, Finland Professional Investor, Belgium Professional Investor, Switzerland Qualified Investor,https://www.ftglobalportfolios.com/srp/documents-id/823f6bc5-e5df-42ae-8fcd-fc5f1d7c3014/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,
Fact Sheet,Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF, February A Acc USD,IE000X8M8M80,UK Retail Investor,https://www.ftglobalportfolios.com/srp/documents-id/f66b7c48-a737-4909-bdf2-aa6778eebcc3/FactSheet.pdf,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,
